# fromId;toId;distance;time;cost;transport;transfer

# =========================
# ANA ULAŞIM BAĞLANTILARI
# =========================

11;39;2.0;8;0;Yürüyüş;0
11;12;5.0;18;15;Otobüs;0

12;20;5.0;18;15;Otobüs;0
12;39;3.0;10;0;Yürüyüş;0

13;37;5.0;18;15;Otobüs;0
13;14;8.0;25;20;Metro;1
13;3;10.0;30;25;Metro;1

14;27;1.5;7;0;Yürüyüş;0
14;29;1.5;7;0;Yürüyüş;0
14;43;4.0;15;15;Otobüs;0
14;45;6.0;20;20;Tramvay;1

15;26;2.0;8;0;Yürüyüş;0
15;33;1.0;5;0;Yürüyüş;0
15;34;1.2;6;0;Yürüyüş;0
15;35;2.5;10;15;Otobüs;0

16;17;7.0;25;15;Otobüs;0
16;31;5.0;18;20;Otobüs;0
16;46;3.0;10;0;Yürüyüş;0
16;50;2.0;8;0;Yürüyüş;0

17;18;1.5;6;0;Yürüyüş;0
17;31;3.0;12;15;Otobüs;0
17;39;4.0;15;15;Otobüs;0
17;50;3.0;10;0;Yürüyüş;0

18;31;4.0;15;15;Otobüs;0
18;39;4.5;16;15;Otobüs;0

19;32;4.0;15;15;Otobüs;0
19;40;5.0;18;15;Otobüs;0
19;30;8.0;28;25;Otobüs;1

20;12;5.0;18;15;Otobüs;0
20;36;5.5;20;20;Otobüs;0
20;37;6.0;20;20;Otobüs;0


# =========================
# SULTANAHMET / TARİHİ YARIMADA BAĞLANTILARI
# =========================

13;21;0.4;3;0;Yürüyüş;0
13;22;1.0;5;0;Yürüyüş;0
13;23;0.5;3;0;Yürüyüş;0
13;24;0.4;3;0;Yürüyüş;0
13;25;1.0;5;0;Yürüyüş;0
13;26;0.8;5;0;Yürüyüş;0

21;22;0.8;5;0;Yürüyüş;0
21;23;0.3;2;0;Yürüyüş;0
21;24;0.2;2;0;Yürüyüş;0
21;25;0.9;5;0;Yürüyüş;0
21;26;0.6;4;0;Yürüyüş;0

22;25;0.8;4;0;Yürüyüş;0
22;26;0.5;3;0;Yürüyüş;0
22;18;0.7;4;0;Yürüyüş;0

23;24;0.2;2;0;Yürüyüş;0
23;27;1.6;8;0;Yürüyüş;0

24;27;1.5;8;0;Yürüyüş;0

25;26;0.4;3;0;Yürüyüş;0
25;28;1.0;5;0;Yürüyüş;0

27;28;1.6;8;0;Yürüyüş;0
27;29;1.5;7;0;Yürüyüş;0

28;29;1.2;6;0;Yürüyüş;0


# =========================
# BEYOĞLU / KARAKÖY / BEŞİKTAŞ HATTI
# =========================

30;31;1.0;5;0;Yürüyüş;0
30;24;3.0;12;15;Tramvay;0
30;28;1.5;7;0;Yürüyüş;0

31;23;0.8;4;0;Yürüyüş;0
31;24;3.0;12;15;Otobüs;0

24;49;1.0;5;0;Yürüyüş;0
24;7;1.2;5;0;Yürüyüş;0

49;7;0.5;3;0;Yürüyüş;0
49;8;2.2;8;0;Yürüyüş;0


# =========================
# HALİÇ / EYÜP / BALAT BAĞLANTILARI
# =========================

26;27;1.5;7;0;Yürüyüş;0
26;33;2.0;8;0;Yürüyüş;0
26;34;2.0;8;0;Yürüyüş;0

33;34;1.0;5;0;Yürüyüş;0
33;35;3.0;12;15;Otobüs;0

34;35;3.5;15;15;Otobüs;0
34;42;2.0;8;0;Yürüyüş;0

35;42;3.0;12;15;Otobüs;0
35;43;2.5;10;0;Yürüyüş;0
35;44;3.5;12;15;Otobüs;0

42;43;2.0;8;0;Yürüyüş;0
42;44;2.5;10;0;Yürüyüş;0

43;44;3.5;12;15;Otobüs;0


# =========================
# ANADOLU YAKASI BAĞLANTILARI
# =========================

25;2;4.0;15;25;Vapur;0
25;1;4.0;15;25;Vapur;0

30;2;4.0;15;20;Vapur;0
30;10;4.0;15;15;Otobüs;0

36;37;2.0;8;0;Yürüyüş;0
36;38;4.5;15;15;Otobüs;0

37;38;3.0;10;0;Yürüyüş;0

38;2;3.5;12;15;Otobüs;0
38;10;2.0;8;0;Yürüyüş;0

40;19;5.0;18;15;Otobüs;0
40;32;2.0;8;0;Yürüyüş;0

48;1;3.0;12;0;Yürüyüş;0
48;2;4.0;15;20;Metro;0

39;11;2.0;8;0;Yürüyüş;0
39;12;4.0;15;0;Yürüyüş;0


# =========================
# BOĞAZ / SARIYER HATTI
# =========================

31;46;4.0;15;15;Otobüs;0
31;50;4.5;15;15;Otobüs;0

46;50;1.5;6;0;Yürüyüş;0
46;16;3.0;10;0;Yürüyüş;0

50;16;2.0;8;0;Yürüyüş;0
50;17;3.0;10;0;Yürüyüş;0

32;19;4.0;15;15;Otobüs;0
32;38;5.0;18;20;Otobüs;1
